/nethome/mct30/bmds/SAM_out/G002_Bac_Myzus-only.map		
Percentage	Number of reads	Filename
0.0009%	108	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0034%	406	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0012%	146	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0006%	69	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0024%	293	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0006%	73	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0006%	70	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0006%	75	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0386%	4664	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0011%	133	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	6	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0015%	180	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	9	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0008%	98	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0004%	48	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	12	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	9	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0005%	60	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	24	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0003%	41	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0068%	817	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	14	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0005%	58	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	15	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	23	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	10	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0003%	35	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0008%	95	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0004%	43	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	30	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	22	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	24	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0006%	70	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	18	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	5	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0003%	31	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0003%	40	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0115%	1393	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0007%	85	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0006%	77	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	13	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	19	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	7	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0011%	132	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0005%	59	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0003%	36	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0026%	316	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	11	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	23	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	20	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0004%	43	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0003%	33	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0004%	54	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	21	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	19	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	22	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	3	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	16	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	4	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0013%	159	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0004%	47	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	1	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	12	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0001%	8	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0002%	27	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.002%	237	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0009%	112	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
0.0%	2	/nethome/mct30/gitclones/bmds/aphid/files/G002_Bac_Myzus-only.map.tsv
